category_id,name,slug,parent_id,level,full_path,product_count
17,DIVERS,non-classe,0,0,DIVERS,33
62,Securité Electronique/Biometrie,securite_electronique,0,0,Securité Electronique/Biometrie,752
63,Réseaux et Télecommunication,reseau-telecom,0,0,Réseaux et Télecommunication,863
65,Accessoires Ordinateurs,accessoires_ordinateurs,0,0,Accessoires Ordinateurs,287
66,Materiels de Bureautique,materiel_bureautique,0,0,Materiels de Bureautique,8
67,.Ordinateurs,ordinateur,0,0,.Ordinateurs,541
69,Ordinateur de Bureau/ Desktop,desktop,67,1,.Ordinateurs > Ordinateur de Bureau/ Desktop,94
70,Ordinateurs portables / Laptop,laptop,67,1,.Ordinateurs > Ordinateurs portables / Laptop,306
71,Imprimantes/Copieurs,imprimante,720,1,Imprimantes &amp; Scanner > Imprimantes/Copieurs,239
73,Alarme Anti Intrusion,anti_intrusion,718,2,Securité Electronique/Biometrie > Alarmes > Alarme Anti Intrusion,35
74,Alarme Anti Incendie,anti_incendie,718,2,Securité Electronique/Biometrie > Alarmes > Alarme Anti Incendie,39
75,.Caméras de Surveillance,camera,62,1,Securité Electronique/Biometrie > .Caméras de Surveillance,443
76,Interphones,interphone,62,1,Securité Electronique/Biometrie > Interphones,36
77,GPS Garmin,gps-garmin,62,1,Securité Electronique/Biometrie > GPS Garmin,28
78,Système Contrôle Accès/presence,controle_acces,62,1,Securité Electronique/Biometrie > Système Contrôle Accès/presence,108
82,Routeurs/AP Wifi/ Antennes Radio,routeur-ap,63,1,Réseaux et Télecommunication > Routeurs/AP Wifi/ Antennes Radio,307
83,Switchs,switch,63,1,Réseaux et Télecommunication > Switchs,155
84,Consommables Imprimantes,accessoire_imprimante,0,0,Consommables Imprimantes,229
87,Câblage/Testeurs/ Accessoires Réseaux,cablage_lan,63,1,Réseaux et Télecommunication > Câblage/Testeurs/ Accessoires Réseaux,146
88,Fibre Optique,fibre_optique,63,1,Réseaux et Télecommunication > Fibre Optique,39
89,Onduleurs &amp; Batteries,onduleur_batterie,0,0,Onduleurs &amp; Batteries,185
90,UTM/Firewall/QoS,utm,63,1,Réseaux et Télecommunication > UTM/Firewall/QoS,11
91,Stockage NAS,nas,428,1,Stockages/disques Dur > Stockage NAS,34
92,Ecrans Moniteurs,ecran_ordinateur,67,1,.Ordinateurs > Ecrans Moniteurs,69
